step,block,vidx,x,y
1,1,0,4.2770900000000003,3.7875999999999999
1,1,1,4.2867699999999997,3.71408
1,1,2,4.29,3.6400000000000001
1,1,3,4.2867699999999997,3.5659200000000002
1,1,4,4.2770900000000003,3.4923999999999999
1,1,5,4.2610400000000004,3.4199999999999999
1,1,6,4.23874,3.3492799999999998
1,1,7,4.2103599999999997,3.28077
1,1,8,4.1761200000000001,3.2149999999999999
1,1,9,4.1362800000000002,3.15246
1,1,10,4.0911400000000002,3.0936300000000001
1,1,11,4.0410399999999997,3.0389599999999999
1,1,12,3.98637,2.9888599999999999
1,1,13,3.92754,2.9437199999999999
1,1,14,3.8650000000000002,2.90388
1,1,15,3.7992300000000001,2.86964
1,1,16,3.7307199999999998,2.8412600000000001
1,1,17,3.6600000000000001,2.8189600000000001
1,1,18,3.5876000000000001,2.8029099999999998
1,1,19,3.5140799999999999,2.7932299999999999
1,1,20,3.4399999999999999,2.79
1,1,21,3.36592,2.7932299999999999
1,1,22,3.2924000000000002,2.8029099999999998
1,1,23,3.2200000000000002,2.8189600000000001
1,1,24,3.1492800000000001,2.8412600000000001
1,1,25,3.0807699999999998,2.86964
1,1,26,3.0150000000000001,2.90388
1,1,27,2.9524599999999999,2.9437199999999999
1,1,28,2.8936299999999999,2.9888599999999999
1,1,29,2.8389600000000002,3.0389599999999999
1,1,30,2.7888600000000001,3.0936300000000001
1,1,31,2.7437200000000002,3.15246
1,1,32,2.7038799999999998,3.2149999999999999
1,1,33,2.6696399999999998,3.28077
1,1,34,2.6412599999999999,3.3492799999999998
1,1,35,2.61896,3.4199999999999999
1,1,36,2.6029100000000001,3.4923999999999999
1,1,37,2.5932300000000001,3.5659200000000002
1,1,38,2.5899999999999999,3.6400000000000001
1,1,39,0.211864,1.833898
1,1,40,2,2.1200000000000001
1,1,41,5.1500000000000004,2.7999999999999998
1,1,42,5.5,2.7000000000000002
1,1,43,6.8411210000000002,4.3130839999999999
1,1,44,4.8977560000000002,4.167332
1,1,45,4.1362800000000002,4.1275399999999998
1,1,46,4.1761200000000001,4.0650000000000004
1,1,47,4.2103599999999997,3.9992299999999998
1,1,48,4.23874,3.93072
1,1,49,4.2610400000000004,3.8599999999999999
1,1,50,4.2770900000000003,3.7875999999999999
1,1,51,4.2867699999999997,3.71408
1,2,54,4.0911400000000002,4.1863700000000001
1,2,55,4.1362800000000002,4.1275399999999998
1,2,56,4.8977560000000002,4.167332
1,2,57,5.6883319999999999,4.8362809999999996
1,2,58,2.8130310000000001,4.9980169999999999
1,2,59,0.83271399999999995,3.9178440000000001
1,2,60,2.6412599999999999,3.93072
1,2,61,2.6696399999999998,3.9992299999999998
1,2,62,2.7038799999999998,4.0650000000000004
1,2,63,2.7437200000000002,4.1275399999999998
1,2,64,2.7888600000000001,4.1863700000000001
1,2,65,2.8389600000000002,4.2410399999999999
1,2,66,2.8936299999999999,4.2911400000000004
1,2,67,2.9524599999999999,4.3362800000000004
1,2,68,3.0150000000000001,4.3761200000000002
1,2,69,3.0807699999999998,4.4103599999999998
1,2,70,3.1492800000000001,4.4387400000000001
1,2,71,3.2200000000000002,4.4610399999999997
1,2,72,3.2924000000000002,4.4770899999999996
